yr,mon,d,forks
2022,11,15,5
2022,11,16,4
2022,11,17,2
2022,11,18,1
2022,11,19,2
2022,11,20,6
2022,11,21,6
2022,11,22,6
2022,11,23,6
2022,11,24,6
2022,11,25,3
2022,11,26,6
2022,11,27,5
2022,11,28,10
2022,11,29,6
2022,11,30,9
2022,12,1,6
2022,12,2,7
2022,12,3,7
2022,12,4,7
2022,12,5,6
2022,12,6,6
2022,12,7,6
2022,12,8,10
2022,12,9,1
2022,12,10,1
2022,12,11,1
2022,12,12,6
2022,12,13,5
2022,12,14,7
2022,12,15,5
2022,12,16,5
2022,12,17,5
2022,12,18,1
2022,12,19,3
2022,12,20,7
2022,12,21,3
2022,12,22,8
2022,12,23,5
2022,12,24,2
2022,12,25,1
2022,12,26,3
2022,12,27,3
2022,12,28,4
2022,12,29,3
2022,12,30,2
2022,12,31,4
2023,1,1,3
2023,1,2,8
2023,1,3,4
2023,1,4,5
2023,1,5,7
2023,1,6,3
2023,1,7,2
2023,1,8,5
2023,1,9,4
2023,1,10,4
2023,1,11,10
2023,1,12,4
2023,1,13,8
2023,1,14,6
2023,1,15,3
2023,1,16,5
2023,1,17,4
2023,1,18,5
2023,1,19,4
2023,1,20,2
2023,1,21,1
2023,1,22,4
2023,1,23,2
2023,1,24,5
2023,1,25,2
2023,1,26,5
2023,1,27,3
2023,1,28,4
2023,1,29,8
2023,1,30,6
2023,1,31,7
2023,2,1,4
2023,2,2,4
2023,2,3,6
2023,2,4,4
2023,2,5,2
2023,2,6,5
2023,2,7,9
2023,2,8,12
2023,2,9,6
2023,2,10,7
2023,2,11,2
2023,2,12,4
2023,2,13,4
2023,2,14,9
2023,2,15,6
2023,2,16,20
2023,2,17,4
2023,2,18,3
2023,2,19,2
2023,2,20,7
2023,2,21,11
2023,2,22,13
2023,2,23,2
2023,2,24,8
2023,2,25,2
2023,2,26,2
2023,2,27,4
2023,2,28,6
2023,3,1,5
2023,3,2,6
2023,3,3,7
2023,3,4,3
2023,3,5,3
2023,3,6,8
2023,3,7,6
2023,3,8,3
2023,3,9,5
2023,3,10,6
2023,3,11,3
2023,3,12,3
2023,3,13,8
2023,3,14,9
2023,3,15,2
2023,3,16,7
2023,3,17,4
2023,3,18,3
2023,3,19,2
2023,3,20,8
2023,3,21,6
2023,3,22,5
2023,3,23,6
2023,3,24,7
2023,3,25,2
2023,3,26,5
2023,3,27,8
2023,3,28,8
2023,3,29,4
2023,3,30,6
2023,3,31,7
2023,4,1,5
2023,4,2,4
2023,4,3,7
2023,4,4,5
2023,4,5,8
2023,4,6,7
2023,4,7,5
2023,4,8,5
2023,4,9,4
2023,4,10,3
2023,4,11,7
2023,4,12,5
2023,4,13,13
2023,4,14,11
2023,4,15,6
2023,4,16,2
2023,4,17,3
2023,4,18,4
2023,4,19,8
2023,4,20,9
2023,4,21,3
2023,4,22,4
2023,4,23,6
2023,4,24,7
2023,4,25,5
2023,4,26,6
2023,4,27,7
2023,4,28,3
2023,4,29,7
2023,4,30,5
2023,5,1,5
2023,5,2,7
2023,5,3,6
2023,5,4,10
2023,5,5,7
2023,5,6,7
2023,5,7,4
2023,5,8,9
2023,5,9,4
2023,5,10,1
2023,5,11,4
2023,5,12,2
2023,5,13,3
2023,5,14,5
2023,5,15,7
2023,5,16,7
2023,5,17,6
2023,5,18,12
2023,5,19,4
2023,5,20,3
2023,5,21,2
2023,5,22,5
2023,5,23,7
2023,5,24,6
2023,5,25,3
2023,5,26,4
2023,5,27,4
2023,5,28,4
2023,5,29,3
2023,5,30,6
2023,5,31,3
2023,6,1,9
2023,6,2,5
2023,6,3,7
2023,6,4,3
2023,6,5,4
2023,6,6,4
2023,6,7,5
2023,6,8,5
2023,6,9,3
2023,6,10,4
2023,6,11,4
2023,6,12,3
2023,6,13,4
2023,6,14,4
2023,6,15,3
2023,6,16,4
2023,6,17,4
2023,6,18,2
2023,6,19,3
2023,6,20,7
2023,6,21,3
2023,6,22,10
2023,6,23,2
2023,6,24,3
2023,6,25,7
2023,6,26,6
2023,6,27,6
2023,6,28,3
2023,6,29,5
2023,6,30,4
2023,7,1,2
2023,7,2,3
2023,7,3,3
2023,7,4,4
2023,7,5,5
2023,7,6,4
2023,7,7,8
2023,7,8,10
2023,7,9,3
2023,7,10,10
2023,7,11,9
2023,7,12,4
2023,7,13,6
2023,7,14,7
2023,7,15,5
2023,7,16,4
2023,7,17,5
2023,7,18,6
2023,7,19,8
2023,7,20,7
2023,7,21,16
2023,7,23,2
2023,7,24,8
2023,7,25,6
2023,7,26,3
2023,7,27,7
2023,7,28,4
2023,7,29,2
2023,7,30,5
2023,7,31,6
2023,8,1,6
2023,8,2,3
2023,8,3,5
2023,8,4,5
2023,8,5,1
2023,8,6,8
2023,8,7,7
2023,8,8,7
2023,8,9,7
2023,8,10,7
2023,8,11,8
2023,8,12,4
2023,8,13,7
2023,8,14,3
2023,8,15,4
2023,8,16,3
2023,8,17,6
2023,8,18,7
2023,8,19,2
2023,8,20,5
2023,8,21,7
2023,8,22,6
2023,8,23,2
2023,8,24,4
2023,8,25,3
2023,8,26,3
2023,8,27,1
2023,8,28,4
2023,8,29,3
2023,8,30,9
2023,8,31,5
2023,9,1,6
2023,9,2,3
2023,9,3,4
2023,9,4,3
2023,9,5,5
2023,9,6,7
2023,9,7,8
2023,9,8,3
2023,9,9,2
2023,9,10,6
2023,9,11,2
2023,9,12,8
2023,9,13,2
2023,9,14,3
2023,9,15,4
2023,9,16,3
2023,9,17,1
2023,9,18,5
2023,9,19,3
2023,9,20,8
2023,9,21,2
2023,9,22,3
2023,9,23,6
2023,9,24,2
2023,9,25,5
2023,9,26,5
2023,9,27,2
2023,9,28,5
2023,9,29,1
2023,9,30,1
2023,10,1,3
2023,10,2,2
2023,10,3,6
2023,10,4,3
2023,10,5,7
2023,10,6,3
2023,10,7,4
2023,10,8,7
2023,10,9,6
2023,10,10,6
2023,10,11,5
2023,10,12,3
2023,10,13,4
2023,10,14,3
2023,10,15,1
2023,10,16,6
2023,10,17,5
2023,10,18,6
2023,10,19,6
2023,10,20,5
2023,10,21,1
2023,10,22,2
2023,10,23,3
2023,10,24,4
2023,10,25,11
2023,10,26,13
2023,10,27,4
2023,10,28,6
2023,10,29,3
2023,10,30,2
2023,10,31,9
2023,11,1,4
2023,11,2,9
2023,11,3,3
2023,11,6,5
2023,11,7,3
2023,11,8,4
2023,11,9,7
2023,11,10,3
2023,11,11,4
2023,11,12,2
2023,11,13,11
2023,11,14,2
2023,11,15,6
2023,11,16,5
2023,11,17,5
2023,11,18,4
2023,11,19,2
2023,11,20,7
2023,11,21,7
2023,11,22,6
2023,11,23,4
2023,11,24,9
2023,11,25,6
2023,11,26,4
2023,11,27,2
2023,11,28,8
2023,11,29,7
2023,11,30,2
2023,12,1,8
2023,12,2,5
2023,12,3,3
2023,12,4,3
2023,12,5,10
2023,12,8,7
2023,12,9,2
2023,12,10,9
2023,12,11,7
2023,12,12,4
2023,12,13,8
2023,12,14,8
2023,12,15,5
2023,12,16,4
2023,12,17,6
2023,12,18,3
2023,12,19,11
2023,12,20,3
2023,12,21,7
2023,12,22,4
2023,12,23,3
2023,12,24,2
2023,12,25,5
2023,12,26,4
2023,12,27,1
2023,12,28,5
2023,12,29,2
2023,12,30,2
2023,12,31,1
2024,1,1,3
2024,1,2,6
2024,1,3,10
2024,1,4,8
2024,1,5,5
2024,1,6,3
2024,1,7,3
2024,1,8,3
2024,1,9,2
2024,1,10,14
2024,1,11,5
2024,1,12,6
2024,1,13,5
2024,1,14,3
2024,1,15,2
2024,1,16,9
2024,1,17,7
2024,1,18,4
2024,1,19,5
2024,1,20,9
2024,1,21,4
2024,1,22,7
2024,1,23,3
2024,1,24,6
2024,1,25,1
2024,1,26,7
2024,1,27,5
2024,1,28,4
2024,1,29,7
2024,1,30,11
2024,1,31,3
2024,2,1,6
2024,2,2,4
2024,2,3,10
