yr,mon,d,forks
2023,4,9,3
2023,4,10,4
2023,4,11,7
2023,4,12,5
2023,4,13,7
2023,4,14,10
2023,4,15,3
2023,4,16,5
2023,4,17,5
2023,4,18,6
2023,4,19,9
2023,4,20,4
2023,4,21,8
2023,4,22,8
2023,4,23,6
2023,4,24,3
2023,4,25,4
2023,4,26,3
2023,4,27,7
2023,4,28,4
2023,4,29,2
2023,4,30,2
2023,5,1,2
2023,5,2,1
2023,5,3,5
2023,5,4,7
2023,5,5,4
2023,5,6,10
2023,5,7,3
2023,5,8,3
2023,5,9,4
2023,5,10,2
2023,5,11,4
2023,5,12,3
2023,5,13,5
2023,5,14,4
2023,5,15,3
2023,5,16,10
2023,5,17,3
2023,5,18,4
2023,5,19,4
2023,5,20,2
2023,5,21,4
2023,5,22,7
2023,5,23,6
2023,5,24,9
2023,5,25,4
2023,5,26,2
2023,5,27,2
2023,5,28,4
2023,5,29,4
2023,5,30,3
2023,5,31,3
2023,6,2,4
2023,6,3,3
2023,6,4,1
2023,6,5,6
2023,6,6,8
2023,6,7,2
2023,6,8,4
2023,6,9,3
2023,6,10,1
2023,6,11,3
2023,6,12,2
2023,6,13,5
2023,6,14,2
2023,6,15,6
2023,6,16,9
2023,6,17,5
2023,6,18,1
2023,6,19,6
2023,6,20,4
2023,6,21,7
2023,6,22,3
2023,6,23,2
2023,6,24,1
2023,6,25,5
2023,6,26,2
2023,6,27,3
2023,6,28,11
2023,6,29,6
2023,6,30,3
2023,7,1,7
2023,7,2,3
2023,7,3,3
2023,7,4,3
2023,7,5,5
2023,7,6,4
2023,7,7,2
2023,7,8,5
2023,7,9,2
2023,7,10,5
2023,7,11,3
2023,7,12,6
2023,7,13,2
2023,7,14,4
2023,7,15,3
2023,7,16,3
2023,7,17,5
2023,7,18,6
2023,7,19,3
2023,7,20,3
2023,7,21,5
2023,7,22,1
2023,7,23,6
2023,7,24,7
2023,7,25,2
2023,7,26,4
2023,7,27,1
2023,7,28,7
2023,7,29,3
2023,7,30,4
2023,7,31,1
2023,8,1,8
2023,8,2,1
2023,8,3,4
2023,8,4,3
2023,8,5,2
2023,8,6,5
2023,8,7,2
2023,8,8,1
2023,8,9,3
2023,8,10,3
2023,8,11,4
2023,8,12,7
2023,8,14,2
2023,8,15,7
2023,8,16,2
2023,8,17,4
2023,8,18,1
2023,8,19,2
2023,8,20,6
2023,8,21,3
2023,8,22,6
2023,8,23,5
2023,8,24,2
2023,8,25,9
2023,8,26,1
2023,8,28,1
2023,8,29,3
2023,8,30,6
2023,8,31,2
2023,9,1,4
2023,9,2,1
2023,9,3,1
2023,9,4,4
2023,9,5,2
2023,9,6,5
2023,9,7,4
2023,9,8,2
2023,9,9,2
2023,9,10,6
2023,9,11,5
2023,9,12,4
2023,9,13,11
2023,9,14,2
2023,9,15,3
2023,9,16,4
2023,9,17,2
2023,9,18,2
2023,9,19,3
2023,9,20,4
2023,9,21,5
2023,9,23,2
2023,9,24,3
2023,9,25,2
2023,9,26,4
2023,9,27,4
2023,9,28,4
2023,9,29,1
2023,9,30,6
2023,10,1,1
2023,10,2,3
2023,10,4,2
2023,10,5,4
2023,10,6,3
2023,10,7,1
2023,10,8,1
2023,10,9,2
2023,10,10,5
2023,10,11,6
2023,10,12,1
2023,10,13,2
2023,10,14,1
2023,10,15,1
2023,10,16,3
2023,10,18,2
2023,10,19,3
2023,10,20,3
2023,10,21,3
2023,10,22,4
2023,10,23,4
2023,10,24,3
2023,10,27,1
2023,10,28,5
2023,10,29,2
2023,10,30,2
2023,10,31,5
2023,11,1,8
2023,11,2,5
2023,11,3,4
2023,11,4,2
2023,11,5,1
2023,11,6,1
2023,11,7,1
2023,11,8,6
2023,11,9,6
2023,11,10,3
2023,11,11,4
2023,11,12,1
2023,11,13,2
2023,11,14,3
2023,11,15,3
2023,11,16,4
2023,11,17,1
2023,11,19,2
2023,11,20,6
2023,11,21,3
2023,11,22,2
2023,11,23,4
2023,11,24,3
2023,11,25,5
2023,11,26,1
2023,11,27,4
2023,11,28,8
2023,11,29,3
2023,11,30,2
2023,12,1,4
2023,12,2,2
2023,12,3,1
2023,12,4,4
2023,12,5,3
2023,12,6,4
2023,12,7,5
2023,12,8,1
2023,12,10,4
2023,12,11,3
2023,12,12,4
2023,12,13,2
2023,12,14,2
2023,12,15,2
2023,12,16,3
2023,12,17,2
2023,12,18,6
2023,12,19,4
2023,12,20,5
2023,12,21,3
2023,12,22,3
2023,12,23,1
2023,12,24,3
2023,12,25,2
2023,12,26,4
2023,12,27,2
2023,12,30,3
2023,12,31,4
2024,1,1,1
2024,1,2,1
2024,1,3,6
2024,1,4,3
2024,1,5,1
2024,1,6,2
2024,1,7,3
2024,1,8,4
2024,1,9,3
2024,1,10,3
2024,1,11,6
2024,1,12,2
2024,1,13,4
2024,1,14,3
2024,1,15,6
2024,1,16,4
2024,1,17,6
2024,1,18,2
2024,1,19,2
2024,1,20,3
2024,1,21,1
2024,1,23,2
2024,1,24,6
2024,1,25,2
2024,1,26,12
2024,1,27,3
2024,1,28,6
2024,1,29,4
2024,1,30,5
2024,1,31,4
2024,2,2,1
2024,2,3,3
2024,2,4,4
2024,2,5,2
2024,2,6,4
2024,2,7,9
2024,2,8,4
2024,2,9,3
2024,2,11,3
2024,2,13,2
2024,2,14,3
2024,2,15,2
2024,2,16,1
2024,2,17,6
2024,2,18,6
2024,2,19,2
2024,2,20,2
2024,2,21,5
2024,2,22,3
2024,2,23,4
2024,2,24,3
2024,2,25,3
2024,2,26,2
2024,2,27,1
2024,2,28,4
2024,2,29,4
2024,3,1,4
2024,3,2,2
2024,3,3,2
2024,3,4,6
2024,3,5,6
2024,3,6,8
2024,3,7,4
2024,3,9,2
2024,3,10,2
2024,3,11,1
2024,3,12,2
2024,3,13,3
2024,3,14,4
2024,3,15,6
2024,3,16,1
2024,3,17,2
2024,3,18,5
2024,3,19,5
2024,3,20,8
2024,3,21,37
2024,3,22,58
2024,3,23,53
2024,3,24,26
2024,3,25,35
2024,3,26,30
2024,3,27,22
2024,3,28,18
