yr,mon,d,forks
2022,9,12,1
2022,9,13,7
2022,9,14,6
2022,9,15,5
2022,9,16,6
2022,9,18,3
2022,9,19,4
2022,9,20,2
2022,9,21,6
2022,9,22,2
2022,9,23,2
2022,9,24,4
2022,9,25,4
2022,9,26,4
2022,9,27,4
2022,9,28,3
2022,9,29,9
2022,9,30,3
2022,10,1,1
2022,10,2,3
2022,10,3,3
2022,10,5,7
2022,10,6,7
2022,10,7,8
2022,10,8,3
2022,10,9,4
2022,10,10,3
2022,10,11,9
2022,10,12,6
2022,10,13,3
2022,10,14,2
2022,10,15,7
2022,10,16,2
2022,10,17,1
2022,10,18,7
2022,10,19,6
2022,10,20,4
2022,10,21,3
2022,10,22,2
2022,10,23,5
2022,10,24,4
2022,10,25,5
2022,10,26,3
2022,10,27,2
2022,10,28,8
2022,10,29,4
2022,10,30,6
2022,10,31,7
2022,11,1,5
2022,11,2,5
2022,11,3,2
2022,11,4,5
2022,11,5,2
2022,11,7,7
2022,11,8,2
2022,11,9,6
2022,11,10,2
2022,11,11,6
2022,11,12,4
2022,11,13,2
2022,11,14,3
2022,11,15,4
2022,11,16,6
2022,11,17,1
2022,11,18,2
2022,11,19,5
2022,11,20,3
2022,11,21,4
2022,11,22,2
2022,11,23,6
2022,11,24,9
2022,11,25,3
2022,11,26,3
2022,11,27,2
2022,11,28,2
2022,11,29,5
2022,11,30,5
2022,12,1,3
2022,12,2,2
2022,12,3,3
2022,12,4,4
2022,12,5,3
2022,12,6,11
2022,12,7,5
2022,12,8,5
2022,12,9,3
2022,12,10,2
2022,12,11,3
2022,12,12,5
2022,12,13,7
2022,12,15,4
2022,12,16,4
2022,12,17,2
2022,12,18,2
2022,12,19,4
2022,12,20,3
2022,12,21,6
2022,12,22,2
2022,12,23,4
2022,12,24,1
2022,12,25,2
2022,12,26,2
2022,12,27,3
2022,12,28,2
2022,12,29,1
2022,12,30,4
2022,12,31,3
2023,1,1,1
2023,1,2,1
2023,1,3,3
2023,1,4,2
2023,1,5,1
2023,1,6,5
2023,1,7,1
2023,1,8,3
2023,1,9,4
2023,1,10,2
2023,1,11,4
2023,1,12,5
2023,1,13,4
2023,1,14,5
2023,1,15,1
2023,1,16,1
2023,1,17,4
2023,1,18,5
2023,1,19,3
2023,1,20,6
2023,1,21,1
2023,1,22,2
2023,1,23,4
2023,1,24,7
2023,1,25,2
2023,1,26,3
2023,1,27,6
2023,1,28,1
2023,1,29,2
2023,1,30,4
2023,1,31,7
2023,2,1,3
2023,2,2,8
2023,2,3,4
2023,2,4,4
2023,2,5,6
2023,2,6,4
2023,2,7,6
2023,2,8,4
2023,2,9,5
2023,2,10,6
2023,2,11,1
2023,2,13,2
2023,2,14,2
2023,2,15,3
2023,2,16,4
2023,2,17,5
2023,2,18,4
2023,2,19,1
2023,2,20,1
2023,2,21,8
2023,2,22,5
2023,2,23,4
2023,2,24,2
2023,2,25,4
2023,2,26,2
2023,2,27,1
2023,2,28,4
2023,3,1,7
2023,3,2,4
2023,3,3,1
2023,3,4,3
2023,3,5,1
2023,3,6,11
2023,3,7,1
2023,3,8,5
2023,3,10,6
2023,3,11,3
2023,3,12,3
2023,3,13,3
2023,3,14,3
2023,3,15,2
2023,3,16,5
2023,3,17,5
2023,3,18,5
2023,3,19,1
2023,3,20,5
2023,3,21,2
2023,3,22,3
2023,3,23,2
2023,3,24,6
2023,3,25,2
2023,3,26,2
2023,3,27,1
2023,3,28,5
2023,3,29,5
2023,3,30,3
2023,3,31,2
2023,4,1,2
2023,4,2,6
2023,4,3,9
2023,4,4,3
2023,4,5,3
2023,4,6,4
2023,4,7,4
2023,4,8,3
2023,4,9,5
